北方国际合作股份有限公司,'91110000192472028J,1986-04-05,建筑业,北京市,220,北京市丰台区南四环西路188号12区47号楼3层(301、302),"['北方国际合作股份有限公司北京工程建设分公司', '北方国际合作股份有限公司深圳分公司', '北方国际合作股份有限公司惠州分公司', '北方国际合作股份有限公司成都分公司', '北方国际合作股份有限公司西安建筑装饰分公司', '北方国际合作股份有限公司北京怀柔建筑分公司', '北方国际合作股份有限公司安徽建筑装饰分公司', '北方国际合作股份有限公司福州分公司', '北方国际合作股份有限公司厦门建筑装饰分公司', '北方国际合作股份有限公司西林铝业分公司', '北方国际合作股份有限公司南京分公司']"
北方国际合作股份有限公司,'91440300MA5K8B8RX0,1986-04-05,建筑业,广东省,-,深圳市福田区天安创新科技广场910、911、912室,"['北方国际合作股份有限公司北京工程建设分公司', '北方国际合作股份有限公司惠州分公司', '北方国际合作股份有限公司成都分公司', '北方国际合作股份有限公司西安建筑装饰分公司', '北方国际合作股份有限公司北京怀柔建筑分公司', '北方国际合作股份有限公司安徽建筑装饰分公司', '北方国际合作股份有限公司福州分公司', '北方国际合作股份有限公司厦门建筑装饰分公司', '北方国际合作股份有限公司西林铝业分公司', '北方国际合作股份有限公司南京分公司', '北方国际合作股份有限公司深圳分公司']"
北京诚意联塑料网厂,'91110115799016766Q,2007-02-27,制造业,北京市,6,北京市大兴区黄村镇西庄村西庄路1号,[]
达华集团北京中达联咨询有限公司,'91110102101207203E,1996-10-17,租赁和商务服务业,北京市,18,北京市东城区建国门内大街18号9层办公楼三座924,"['达华集团北京中达联咨询有限公司广东分公司', '达华集团北京中达联咨询有限公司重庆分公司', '达华集团北京中达联咨询有限公司海口分公司', '达华集团北京中达联咨询有限公司江苏分公司', '达华集团北京中达联咨询有限公司武汉分公司', '达华集团北京中达联咨询有限公司湖北分公司', '达华集团北京中达联咨询有限公司第一分公司', '达华集团北京中达联咨询有限公司黑龙江分公司', '达华集团北京中达联咨询有限公司福建分公司', '达华集团北京中达联咨询有限公司电网工程监理分公司', '达华集团北京中达联咨询有限公司深圳分公司', '达华集团北京中达联咨询有限公司岳阳分公司', '达华集团北京中达联咨询有限公司海南分公司', '达华集团北京中达联咨询有限公司东北分公司', '达华集团北京中达联咨询有限公司南京分公司', '达华集团北京中达联咨询有限公司西安分公司']"
北京中联普瑞科技有限公司,'9111010859066368XA,2012-02-14,科学研究和技术服务业,北京市,12,北京市昌平区回龙观镇黄平路19号院2号14层1403,[]
北京英福美信息科技股份有限公司,'911101057802396879,2005-08-31,科学研究和技术服务业,北京市,47,北京市朝阳区酒仙桥东路9号院1号楼102(电子城科技园集中办公区056号),[]
北京是卓科技有限公司,'91110114MA00DJEX90,2017-04-10,信息传输、软件和信息技术服务业,北京市,4,北京市昌平区科技园区振兴路36号院2号楼6层636室,[]
北京华通伟业科技发展有限公司,'91110102633713078W,1998-11-20,科学研究和技术服务业,北京市,57,北京市西城区德胜里一区11号楼三层018室(德胜园区),['北京华通伟业科技发展有限公司上海分公司']
北京捷利源绿建科技有限公司,'91110229082892275H,2013-11-01,科学研究和技术服务业,北京市,-,北京市延庆区八达岭经济开发区康西路1520号,[]
北京华瀛安盛科技发展有限公司,'911101085657684476,2010-12-06,科学研究和技术服务业,北京市,19,北京市海淀区北清路68号院8号楼2层201室,[]
中电长城网际系统应用有限公司,'91110114599653533L,2012-07-06,信息传输、软件和信息技术服务业,北京市,367,北京市昌平区未来科技城南区中国信息安全研究院有限公司院内B栋5层,"['中电长城网际系统应用有限公司江西分公司', '中电长城网际系统应用有限公司厦门分公司', '中电长城网际系统应用有限公司孝感分公司', '中电长城网际系统应用有限公司广州分公司']"
北京果壳互动科技传媒有限公司,'911101016851445089,2009-01-22,科学研究和技术服务业,北京市,117,北京市东城区藏经馆胡同17号1幢2118室,[]
中交信捷科技有限公司,'91110108MA001J3P8M,2015-10-30,信息传输、软件和信息技术服务业,北京市,10,北京市海淀区上庄路89号院2号楼2212室,[]
北京耐威格特科技有限公司,'9111011768692379X9,2009-03-25,科学研究和技术服务业,北京市,-,北京市平谷区夏各庄镇夏各庄北街68号,[]
